,Title,Text,Date
57,"Toto-tracce prova d'italiano, i nomi più gettonati sono D’Annunzio, Pirandello, Ungaretti e Svevo","Per il tema di attualità, gli studenti indicano come più probabili le seguenti tracce: “Intelligenza artificiale e nuove frontiere digitali” (24%), seconda è quella sul “Conflitto tra Israele...",14.06.2024
58,"La prima del Papa al G7, dieci bilaterali per la pace","La preoccupazione di Papa Francesco è per Israele e Palestina, per l'Ucraina ma anche per i conflitti che non sono sulle prime pagine dei giornali, come quello in Myanmar.",14.06.2024
59,"Il Papa,non dimentichiamo i Paesi in guerra,ci vuole la pace","(ANSA) - ROMA, 12 GIU - ""Non dimentichiamo la martoriata
Ucraina, non dimentichiamo la Palestina, Israele, non
dimentichiamo il Myanmar e tanti Paesi che sono in guerra.",12.06.2024
60,"Il Papa, non dimentichiamo i Paesi in guerra, ci vuole la pace","(ANSA) - CITTÀ DEL VATICANO, 12 GIU - ""Non dimentichiamo la
martoriata Ucraina, non dimentichiamo la Palestina...",12.06.2024
61,"Il Papa al G7 per la pace, Yermak in Vaticano","E dopo il
momento di preghiera per il Medio Oriente, ieri nei Giardini
Vaticani, nei quali ha messo insieme ai piedi dell'ulivo
piantato dieci anni fa con Shimon Peres e Abu Mazen, gli
ambasciatori di Israele e Palestina, oggi invece fari puntati
sull'Ucraina.",08.06.2024
62,"A Betlemme l'enologo Fadì Batarseh, 'il vino per unire e creare pace'","- CAGLIARI - ""La speranza è che i vini della cantina di Cremisan un giorno possano unire Palestina...",07.06.2024
63,"Conferenza su Israele- Palestina, Teatro Parenti blindato","Tra i relatori, il 33enne giornalista Eylon Levy, che è stato
portavoce ufficiale del governo israeliano, dall'inizio della
guerra Israele-Hamas del 2023 fino al marzo 2024, quando è stato
sospeso.",06.06.2024
64,Madrid con il Sudafrica all'Aja contro Israele,"Dopo averlo ""meditato da settimane"" Madrid si unisce alla causa promossa dal Sudafrica presso il Tribunale di giustizia internazionale dell'Aja contro Israele, per presunto genocidio e crimini di guerra contro l'umanità nella Striscia di Gaza.",06.06.2024
65,"Soumahoro, 'raid sulla scuola a Gaza è un atto di terrore'","L'Italia, in qualità di Presidente di turno del G7, abbia il
coraggio di condannare Israele...",06.06.2024
66,La Spagna si unisce al processo della Cpi contro Israele,Il riconoscimento dello Stato della Palestina...,06.06.2024
67,Madrid si unisce al processo della Cpi contro Israele,"Il riconoscimento dello Stato della Palestina da parte di Madrid, formalizzato lo scorso 29 maggio assieme all'Irlanda e alla Norvegia, passo successivamente compiuto anche dalla Slovenia, ha aggravato la crisi diplomatica con Israele.",06.06.2024
68,Forum ANSA con La Valle: 'I popoli di Israele e Palestina siano patrimonio dell'umanità',"""Lo stato della Palestina? In questa situazione non è pensabile uno stato, non gli sarebbe concessa nessuna autonomia.",05.06.2024
69,"Il Papa invoca la 'Salus populi romani',dia pace al mondo intero","Penso in particolare, alla martoriata Ucraina, alla Palestina e
Israele, al Sudan, al Myanmar, dove ancora rumoreggiano le armi
e altro sangue umano continua ad essere versato"".",04.06.2024
70,"Hamas pessimista sull'accordo, Netanyahu vuole solo una tregua","Gli ho sottolineato che lo Stato di Israele è impegnato nella restituzione degli ostaggi e la considera non solo una responsabilità morale superiore, ma anche una priorità nel calendario della guerra.",04.06.2024
71,Economia e profitti di guerra,,03.06.2024
72,"Khamenei loda gli attacchi del 7 ottobre, ma Abu Mazen non è d'accordo","""Gli attacchi di Hamas contro Israele...",03.06.2024
73,"Egitto, 'Hamas ha accettato la proposta degli Usa","Le prime dichiarazioni di Hamas indicano che ha accolto positivamente la proposta di accordo e ora aspettiamo la risposta israeliana"", ha detto Shoukry durante una conferenza stampa con il collega spagnolo. ""La guerra...",03.06.2024
74,"Il Papa, ""cessi escalation guerre, ora dialogo e trattativa""","""Non dimentichiamo
la martoriata Ucraina, la Palestina, Israele, il Myanmar"", ha
elencato il Pontefice al momento della preghiera mariana
domenicale in una Piazza San Pietro bagnata dalla pioggia.",02.06.2024
75,"Il Papa: 'Cessi l'escalation delle guerre, ora dialogo e trattativa","""Non dimentichiamo la martoriata Ucraina, la Palestina, Israele, il Myanmar"", ha detto papa Francesco al termine dell'Angelus.",02.06.2024
76,"Tajani, con uso armi in Russia cresce rischio terza guerra","""Per riconoscere lo Stato palestinese bisogna vedere quale è
e quali sono i confini, l'Italia vuole riconoscere lo Stato
palestinese, - ribadisce Tajani - ma deve nascere da un mutuo
riconoscimento della Palestina...",01.06.2024
77,"L'enologo Fadì Batarseh, 'il vino per unire e creare pace'","(ANSA) - CAGLIARI, 31 MAG - ""La speranza è che i vini della cantina di Cremisan un giorno possano unire Palestina...",31.05.2024
78,"Pace in Terra Santa, si rievoca invocazione Papa-Peres-Abu Mazen","Un'iniziativa, a solo due settimane dal viaggio del
Pontefice in Israele e Palestina (24-26 maggio 2014), che con
gli occhi di oggi, nel pieno della tragica riesplosione del
conflitto in Medio Oriente, può ben definirsi ""profetica"".",31.05.2024
79,"Il Papa, l'8 giugno commemora incontro con Peres e Abu Mazen","(ANSA) - CITTÀ DEL VATICANO, 31 MAG - Sabato 8 giugno
ricorrerà il decimo anniversario dell'incontro, nei Giardini
vaticani, nel quale il Papa, con l'allora presidente d'Israele...",31.05.2024
80,'Bombe americane nella strage tra le tende a Rafah',"""I combattimenti a Gaza continueranno per altri 7 mesi"", ha affermato il consigliere per la Sicurezza nazionale di Israele Tzachi Hanegbi in un'intervista a Canale 2.",30.05.2024
81,"Papa: ""La guerra è sempre crudeltà, tanti bambini soffrono""","""Non dimentichiamo
la Palestina e Israele, che soffrono tanto - ha detto ancora il
Pontefice -.",29.05.2024
82,I tank di Israele penetrano nel centro di Rafah,"Secondo i media, Israele ha presentato ai mediatori una proposta ""ufficiale scritta e aggiornata"", più mitigata, su un possibile accordo con Hamas per il rilascio degli ostaggi.",29.05.2024
83,"Spagna, Norvegia e Irlanda riconoscono lo Stato della Palestina","La decisione, che ha fatto infuriare Israele, porta a oltre 140 il numero di Stati membri dell'Onu (su 193) che riconoscono la Palestina come Stato.",28.05.2024
